index,coeff,stder,p_val,0.025,0.975
iwp_avglayer,-5.551e-17,0.11,1.0,-0.221,0.221
ta_sfc,-0.3104,0.156,0.052,-0.624,0.003
rh_850,0.5013,0.118,0.0,0.264,0.739
wspd_sfc,0.1722,0.136,0.212,-0.101,0.445
omega_500,-0.1537,0.112,0.177,-0.379,0.072
lhf_qcecor,0.1829,0.138,0.191,-0.094,0.46
SS,0.1682,0.139,0.23,-0.11,0.446
BC,0.1894,0.127,0.141,-0.065,0.443
