index,coeff,stder,p_val,0.025,0.975
dmv_avg_gcpex,4.857e-17,0.109,1.0,-0.218,0.218
ta_sfc,-0.4038,0.173,0.024,-0.751,-0.056
LTS,-0.2621,0.186,0.164,-0.635,0.111
rh_850,0.3553,0.149,0.021,0.056,0.655
lhf_qcecor,0.3866,0.135,0.006,0.115,0.658
shf_qcecor,0.1761,0.119,0.144,-0.062,0.414
SS,0.2417,0.119,0.048,0.002,0.481
BC,0.2941,0.119,0.017,0.056,0.532
