index,coeff,stder,p_val,0.025,0.975
cfrac_avglayer_shup,5.117e-17,0.09,1.0,-0.181,0.181
ta_sfc,-0.3232,0.119,0.009,-0.562,-0.084
LTS,-0.2103,0.143,0.148,-0.497,0.077
rh_850,0.6532,0.121,0.0,0.411,0.895
omega_500,-0.1494,0.092,0.109,-0.334,0.035
SS,0.1502,0.1,0.138,-0.05,0.35
DU,0.19,0.095,0.051,-0.001,0.381
