index,coeff,stder,p_val,0.025,0.975
ctop_armb,-1.804e-16,0.098,1.0,-0.196,0.196
ta_sfc,-0.1563,0.175,0.375,-0.507,0.195
LTS,-0.1602,0.172,0.355,-0.505,0.185
rh_850,0.6218,0.138,0.0,0.344,0.9
wspd_sfc,0.0359,0.124,0.774,-0.214,0.285
omega_500,-0.0874,0.103,0.4,-0.294,0.119
lhf_qcecor,0.0231,0.125,0.854,-0.228,0.275
shf_qcecor,0.0331,0.112,0.768,-0.191,0.258
SS,0.2029,0.125,0.112,-0.049,0.455
DU,0.2143,0.14,0.133,-0.068,0.496
BC,0.179,0.162,0.275,-0.147,0.505
SO4,-0.1645,0.195,0.402,-0.556,0.227
