index,coeff,stder,p_val,0.025,0.975
dmv_avg_gcpex,4.857e-17,0.11,1.0,-0.221,0.221
ta_sfc,-0.2747,0.197,0.17,-0.671,0.121
LTS,-0.2155,0.194,0.271,-0.605,0.174
rh_850,0.3609,0.156,0.025,0.047,0.675
wspd_sfc,0.0837,0.14,0.553,-0.198,0.365
omega_500,-0.0424,0.116,0.717,-0.276,0.191
lhf_qcecor,0.4078,0.141,0.006,0.124,0.692
shf_qcecor,0.156,0.126,0.222,-0.097,0.409
SS,0.2151,0.142,0.135,-0.069,0.5
DU,0.1405,0.158,0.379,-0.178,0.459
BC,0.3778,0.183,0.044,0.01,0.746
SO4,-0.2889,0.22,0.194,-0.73,0.152
