index,coeff,stder,p_val,0.025,0.975
lwp_avglayer,7.98e-17,0.122,1.0,-0.245,0.245
LTS,-0.2891,0.124,0.023,-0.537,-0.041
omega_500,0.2392,0.123,0.056,-0.007,0.485
SS,-0.1544,0.124,0.218,-0.403,0.094
