index,coeff,stder,p_val,0.025,0.975
cdepth_armb,-6.939e-17,0.103,1.0,-0.206,0.206
LTS,-0.2392,0.136,0.085,-0.513,0.035
rh_850,0.4413,0.135,0.002,0.17,0.712
omega_500,-0.2457,0.104,0.022,-0.455,-0.036
SS,0.2058,0.114,0.076,-0.022,0.434
DU,0.1982,0.137,0.154,-0.077,0.473
BC,0.1896,0.157,0.232,-0.125,0.504
SO4,-0.2894,0.172,0.099,-0.635,0.057
