index,coeff,stder,p_val,0.025,0.975
cbot_armb,5.204e-17,0.124,1.0,-0.25,0.25
ta_sfc,0.1091,0.222,0.626,-0.338,0.556
LTS,0.2391,0.218,0.279,-0.2,0.678
rh_850,0.2331,0.176,0.191,-0.121,0.587
wspd_sfc,-0.149,0.158,0.35,-0.467,0.168
omega_500,0.3119,0.131,0.021,0.049,0.575
lhf_qcecor,0.0483,0.159,0.763,-0.272,0.368
shf_qcecor,-0.4072,0.142,0.006,-0.693,-0.122
SS,0.0262,0.16,0.87,-0.295,0.347
DU,-0.1271,0.179,0.48,-0.486,0.232
BC,0.0339,0.206,0.87,-0.381,0.449
SO4,-0.0917,0.248,0.713,-0.589,0.406
