index,coeff,stder,p_val,0.025,0.975
cbot_armb,6.245e-17,0.118,1.0,-0.237,0.237
wspd_sfc,-0.1294,0.129,0.321,-0.388,0.13
omega_500,0.3079,0.122,0.015,0.063,0.553
shf_qcecor,-0.3438,0.122,0.007,-0.588,-0.1
DU,-0.1804,0.131,0.174,-0.443,0.082
