index,coeff,stder,p_val,0.025,0.975
cdepth_armb,-6.765e-17,0.079,1.0,-0.158,0.158
ta_sfc,0.2217,0.118,0.066,-0.015,0.459
LTS,0.1617,0.127,0.208,-0.093,0.416
rh_850,0.7545,0.126,0.0,0.501,1.008
omega_500,-0.2499,0.088,0.007,-0.427,-0.073
wspd_sfc,-0.0098,0.099,0.922,-0.21,0.19
SS,0.0294,0.124,0.813,-0.219,0.278
DU,0.1284,0.097,0.189,-0.065,0.322
BC,0.1362,0.112,0.229,-0.088,0.361
SO2,-0.2793,0.098,0.007,-0.477,-0.082
SO4,-0.2878,0.138,0.043,-0.566,-0.01
DMS,-0.0279,0.129,0.829,-0.287,0.231
