index,coeff,stder,p_val,0.025,0.975
dmv_avg_gcpex,-1.388e-17,0.093,1.0,-0.186,0.186
ta_sfc,-0.2653,0.146,0.075,-0.558,0.028
LTS,-0.3385,0.156,0.035,-0.652,-0.025
rh_850,0.4571,0.132,0.001,0.193,0.722
omega_500,-0.1113,0.099,0.265,-0.31,0.087
wspd_sfc,-0.0525,0.116,0.652,-0.284,0.18
SS,0.1405,0.142,0.328,-0.145,0.426
DU,0.0178,0.118,0.881,-0.219,0.254
BC,0.1617,0.13,0.219,-0.099,0.423
SO2,-0.1949,0.117,0.103,-0.43,0.04
SO4,-0.0299,0.157,0.85,-0.345,0.285
DMS,-0.162,0.154,0.299,-0.472,0.148
