index,coeff,stder,p_val,0.025,0.975
dmv_avg_gcpex,-1.735e-17,0.09,1.0,-0.18,0.18
ta_sfc,-0.3034,0.118,0.013,-0.539,-0.068
LTS,-0.353,0.149,0.022,-0.652,-0.054
rh_850,0.4396,0.123,0.001,0.193,0.687
omega_500,-0.0976,0.092,0.291,-0.281,0.086
BC,0.161,0.096,0.1,-0.032,0.354
SO2,-0.252,0.098,0.013,-0.449,-0.055
