index,coeff,stder,p_val,0.025,0.975
cdepth_armb,-6.765e-17,0.077,1.0,-0.154,0.154
ta_sfc,0.224,0.105,0.037,0.014,0.434
LTS,0.1652,0.122,0.18,-0.079,0.409
rh_850,0.7549,0.115,0.0,0.523,0.987
omega_500,-0.248,0.08,0.003,-0.408,-0.088
DU,0.1281,0.09,0.162,-0.053,0.309
BC,0.1373,0.102,0.183,-0.067,0.341
SO2,-0.2843,0.092,0.003,-0.469,-0.1
SO4,-0.2917,0.129,0.028,-0.551,-0.032
