index,coeff,stder,p_val,0.025,0.975
cbot_armb,3.99e-17,0.123,1.0,-0.247,0.247
ta_sfc,0.0809,0.184,0.663,-0.289,0.451
LTS,-0.3199,0.198,0.113,-0.718,0.078
rh_850,-0.3835,0.197,0.057,-0.779,0.012
omega_500,0.0916,0.138,0.509,-0.185,0.368
wspd_sfc,-0.1693,0.155,0.281,-0.481,0.143
SS,-0.2702,0.194,0.169,-0.659,0.119
DU,0.0338,0.151,0.824,-0.269,0.337
BC,0.1525,0.175,0.387,-0.198,0.503
SO2,0.1373,0.154,0.376,-0.172,0.446
SO4,-0.0624,0.216,0.774,-0.497,0.372
DMS,0.1517,0.201,0.454,-0.253,0.556
