index,coeff,stder,p_val,0.025,0.975
slf_avglayer,7.676e-17,0.095,1.0,-0.19,0.19
rh_850,-0.6811,0.104,0.0,-0.89,-0.473
omega_500,0.1634,0.103,0.119,-0.043,0.37
wspd_sfc,0.1362,0.109,0.218,-0.083,0.355
DU,-0.2883,0.109,0.011,-0.507,-0.069
BC,-0.1872,0.126,0.144,-0.441,0.066
SO4,0.4137,0.127,0.002,0.158,0.669
