index,coeff,stder,p_val,0.025,0.975
iwp_avglayer,5.378e-17,0.11,1.0,-0.221,0.221
ta_sfc,0.1773,0.165,0.287,-0.154,0.508
LTS,0.1187,0.177,0.506,-0.237,0.474
rh_850,0.5104,0.176,0.005,0.157,0.864
omega_500,-0.1983,0.123,0.113,-0.445,0.049
wspd_sfc,0.0239,0.139,0.864,-0.255,0.303
SS,0.2666,0.173,0.129,-0.081,0.614
DU,0.1608,0.135,0.238,-0.11,0.431
BC,-0.0578,0.156,0.713,-0.371,0.256
SO2,-0.1266,0.137,0.361,-0.403,0.149
SO4,-0.2989,0.193,0.128,-0.687,0.089
DMS,-0.1296,0.18,0.475,-0.491,0.232
