index,coeff,stder,p_val,0.025,0.975
iwp_avglayer,7.459e-17,0.107,1.0,-0.214,0.214
rh_850,0.4724,0.116,0.0,0.24,0.704
omega_500,-0.2244,0.108,0.042,-0.44,-0.009
SS,0.2437,0.114,0.038,0.014,0.473
DU,0.1343,0.12,0.266,-0.105,0.374
SO2,-0.1774,0.124,0.157,-0.425,0.07
SO4,-0.2785,0.137,0.047,-0.554,-0.004
