index,coeff,stder,p_val,0.025,0.975
cfrac_avglayer_shup,4.077e-17,0.08,1.0,-0.161,0.161
rh_850,0.6977,0.094,0.0,0.509,0.887
omega_500,-0.288,0.087,0.002,-0.464,-0.113
wspd_sfc,-0.1013,0.093,0.279,-0.287,0.085
DU,0.1527,0.095,0.113,-0.037,0.343
BC,0.2371,0.112,0.039,0.013,0.462
SO2,-0.2777,0.094,0.005,-0.466,-0.089
SO4,-0.3753,0.133,0.007,-0.641,-0.109
DMS,0.1126,0.096,0.246,-0.08,0.305
