index,coeff,stder,p_val,0.025,0.975
dmv_avg_gcpex,-1.388e-17,0.088,1.0,-0.176,0.176
ta_sfc,-0.3059,0.115,0.01,-0.537,-0.075
LTS,-0.3914,0.147,0.01,-0.687,-0.096
rh_850,0.3506,0.13,0.009,0.091,0.61
omega_500,-0.1404,0.092,0.134,-0.326,0.045
BC,0.4848,0.197,0.017,0.09,0.879
OC,-0.3687,0.197,0.066,-0.763,0.026
SO2,-0.2923,0.099,0.005,-0.49,-0.095
