index,coeff,stder,p_val,0.025,0.975
lwp_avglayer,6.245e-17,0.106,1.0,-0.213,0.213
ta_sfc,0.1779,0.135,0.193,-0.093,0.449
LTS,-0.2433,0.125,0.057,-0.494,0.007
wspd_sfc,0.2302,0.123,0.066,-0.015,0.476
SS,-0.1789,0.129,0.172,-0.438,0.08
DU,-0.1283,0.113,0.262,-0.355,0.099
SO2,-0.4348,0.11,0.0,-0.656,-0.214
