index,coeff,stder,p_val,0.025,0.975
cbot_armb,3.99e-17,0.119,1.0,-0.238,0.238
LTS,-0.3551,0.17,0.041,-0.696,-0.014
rh_850,-0.4214,0.176,0.02,-0.774,-0.069
wspd_sfc,-0.1993,0.132,0.137,-0.464,0.066
SS,-0.2709,0.178,0.135,-0.629,0.087
BC,0.1805,0.126,0.158,-0.072,0.433
DMS,0.2001,0.17,0.244,-0.14,0.54
