index,coeff,stder,p_val,0.025,0.975
ctop_armb,-1.561e-17,0.089,1.0,-0.179,0.179
ta_sfc,0.1466,0.121,0.232,-0.097,0.39
rh_850,0.6478,0.107,0.0,0.434,0.862
omega_500,-0.2402,0.097,0.017,-0.435,-0.045
wspd_sfc,-0.1818,0.103,0.084,-0.389,0.025
DU,0.2143,0.107,0.05,0.0,0.428
BC,0.3643,0.126,0.005,0.112,0.616
SO2,-0.2138,0.111,0.059,-0.436,0.008
SO4,-0.5147,0.154,0.002,-0.825,-0.205
DMS,0.176,0.118,0.143,-0.061,0.413
