index,coeff,stder,p_val,0.025,0.975
ctop_armb,-1.475e-17,0.103,1.0,-0.207,0.207
ta_sfc,0.0467,0.118,0.695,-0.19,0.284
LTS,-0.1545,0.161,0.341,-0.477,0.168
rh_850,0.4625,0.147,0.003,0.169,0.756
omega_500,-0.1686,0.113,0.141,-0.395,0.058
wspd_sfc,-0.1334,0.113,0.241,-0.359,0.092
