index,coeff,stder,p_val,0.025,0.975
iwp_avglayer,7.459e-17,0.116,1.0,-0.233,0.233
ta_sfc,0.0561,0.133,0.675,-0.211,0.323
LTS,0.0563,0.181,0.757,-0.307,0.419
rh_850,0.4829,0.165,0.005,0.152,0.814
omega_500,-0.1714,0.127,0.183,-0.426,0.083
wspd_sfc,0.0816,0.127,0.523,-0.172,0.336
