index,coeff,stder,p_val,0.025,0.975
slf_avglayer,7.676e-17,0.1,1.0,-0.201,0.201
ta_sfc,0.2506,0.115,0.033,0.02,0.481
LTS,0.2625,0.156,0.099,-0.051,0.576
rh_850,-0.47,0.142,0.002,-0.755,-0.185
omega_500,0.1428,0.11,0.198,-0.077,0.363
wspd_sfc,0.09,0.109,0.414,-0.129,0.309
