index,coeff,stder,p_val,0.025,0.975
dmv_avg_gcpex,-1.735e-17,0.095,1.0,-0.19,0.19
ta_sfc,-0.2609,0.12,0.034,-0.502,-0.02
LTS,-0.3787,0.155,0.018,-0.69,-0.068
rh_850,0.4763,0.129,0.001,0.218,0.735
omega_500,-0.0926,0.098,0.347,-0.288,0.103
wspd_sfc,0.0353,0.097,0.716,-0.158,0.229
