index,coeff,stder,p_val,0.025,0.975
cbot_armb,3.99e-17,0.121,1.0,-0.241,0.241
LTS,-0.3842,0.164,0.022,-0.712,-0.056
rh_850,-0.4656,0.166,0.007,-0.798,-0.133
wspd_sfc,-0.2404,0.123,0.055,-0.487,0.006
