index,coeff,stder,p_val,0.025,0.975
cfrac_avglayer_shup,2.342e-17,0.096,1.0,-0.191,0.191
ta_sfc,-0.0448,0.109,0.683,-0.264,0.174
LTS,-0.0185,0.149,0.902,-0.316,0.279
rh_850,0.657,0.136,0.0,0.385,0.928
omega_500,-0.2135,0.104,0.045,-0.423,-0.004
wspd_sfc,-0.0739,0.104,0.48,-0.282,0.134
