index,coeff,stder,p_val,0.025,0.975
slf_avglayer,7.676e-17,0.1,1.0,-0.201,0.201
ta_sfc,0.2477,0.115,0.035,0.018,0.477
LTS,0.2496,0.155,0.113,-0.061,0.56
rh_850,-0.4951,0.139,0.001,-0.773,-0.217
omega_500,0.1114,0.103,0.282,-0.094,0.317
