index,coeff,stder,p_val,0.025,0.975
ctop_armb,-1.475e-17,0.103,1.0,-0.206,0.206
LTS,-0.1828,0.143,0.207,-0.469,0.104
rh_850,0.4532,0.144,0.003,0.165,0.741
omega_500,-0.1721,0.112,0.129,-0.396,0.052
wspd_sfc,-0.1348,0.112,0.233,-0.359,0.089
