index,coeff,stder,p_val,0.025,0.975
cbot_armb,3.99e-17,0.122,1.0,-0.244,0.244
ta_sfc,0.0493,0.14,0.725,-0.23,0.329
LTS,-0.3298,0.19,0.088,-0.71,0.051
rh_850,-0.4355,0.173,0.015,-0.782,-0.089
omega_500,0.0911,0.133,0.497,-0.176,0.358
wspd_sfc,-0.2086,0.133,0.122,-0.475,0.058
