index,coeff,stder,p_val,0.025,0.975
cdepth_armb,-6.592e-17,0.09,1.0,-0.181,0.181
rh_850,0.695,0.09,0.0,0.514,0.876
omega_500,-0.2073,0.09,0.025,-0.388,-0.026
