index,coeff,stder,p_val,0.025,0.975
cdepth_armb,-6.592e-17,0.092,1.0,-0.184,0.184
ta_sfc,0.0976,0.105,0.358,-0.113,0.308
LTS,0.0956,0.143,0.507,-0.191,0.382
rh_850,0.7384,0.13,0.0,0.477,1.0
omega_500,-0.1956,0.1,0.056,-0.397,0.006
wspd_sfc,4.753e-05,0.1,1.0,-0.2,0.201
